Food Item,Region,Variation,Calories (kcal),Protein (mg),Total Carbs (mg),Total Fat (mg),Sugar (mg),Fiber (mg),Trans Fat (mg),Saturated Fat (mg),Cholesterol (mg),Iron (mg),Potassium (mg),Magnesium (mg),Zinc (mg),Sodium (mg),Calcium (mg),Vitamin C (mg),Vitamin B (complex) (mg),Ingredients,Alergens
Non Veg Burger,New York,Beef,550,25000,42000,30000,9000,3000,1500,11000,90,4,450,40,5,950,130,4,15,"  [""Burger bun (1 pc)"", ""Beef patty (120g)"", ""Lettuce (2 leaves)"", ""Tomato slices (2)"", ""Cheddar cheese slice (1)"", ""Pickles (2 slices)"", ""Mustard (1 tsp)"", ""Ketchup (1 tbsp)"", ""Salt (1/4 tsp)"", ""Black pepper (1/4 tsp)""],","  [""Gluten"", ""Milk""],"
Non Veg Burger,Chicago,Bacon,720,35000,45000,45000,14000,3000,2000,18000,125,5,600,55,6,1500,300,3,18,"  [""Burger bun (1 pc)"", ""Beef patty (100g)"", ""Bacon strips (2)"", ""Lettuce (2 leaves)"", ""Tomato slices (2)"", ""Cheddar cheese (1 slice)"", ""Mayonnaise (1 tbsp)"", ""BBQ sauce (1 tbsp)"", ""Salt (1/4 tsp)"", ""Black pepper (1/4 tsp)""],","  [""Gluten"", ""Pork"", ""Milk"", ""Egg""],"
Nuggets,Mumbai,Paneer,380,18000,30000,20000,2000,2000,100,12000,70,2,250,40,1,600,450,1,3,"  [""Paneer cubes (150g)"", ""All-purpose flour (2 tbsp)"", ""Cornflour (2 tbsp)"", ""Salt (1/2 tsp)"", ""Black pepper (1/4 tsp)"", ""Breadcrumbs (1/2 cup)"", ""Water (2 tbsp)"", ""Vegetable oil (200ml for frying)""],","  [""Milk"", ""Gluten"", ""Corn""],"
Nuggets,New York,Chicken,350,22000,28000,18000,500,2000,100,4500,85,2,400,35,2,700,40,0,10,"  [""Minced chicken (150g)"", ""Egg (1)"", ""Breadcrumbs (1/2 cup)"", ""All-purpose flour (2 tbsp)"", ""Garlic powder (1/2 tsp)"", ""Salt (1/2 tsp)"", ""Black pepper (1/4 tsp)"", ""Vegetable oil (200ml for frying)""],","  [""Chicken"", ""Egg"", ""Gluten""],"
Nuggets,Chicago,Vegetable,280,8000,35000,12000,3000,5000,50,2000,0,3,500,50,1,550,60,10,2,"  [""Mixed vegetables (carrot, peas, corn – 150g)"", ""Mashed potato (50g)"", ""Breadcrumbs (1/2 cup)"", ""All-purpose flour (2 tbsp)"", ""Salt (1/2 tsp)"", ""Black pepper (1/4 tsp)"", ""Garlic powder (1/2 tsp)"", ""Vegetable oil (200ml for frying)""],","  [""Soy"", ""Gluten""],"
Salad,Mumbai,Mushroom,150,5000,10000,10000,6000,4000,0,1500,0,2,500,30,1,300,40,15,5,"  [""Button mushrooms (100g)"", ""Lettuce (50g)"", ""Cherry tomatoes (50g)"", ""Cucumber slices (50g)"", ""Olive oil (1 tbsp)"", ""Lemon juice (1 tbsp)"", ""Salt (1/4 tsp)"", ""Black pepper (1/4 tsp)""],","  [""Mushroom""],"
Salad,New York,Chicken,400,28000,15000,25000,5000,3000,100,5000,85,2,600,50,2,700,100,12,12,"  [""Grilled chicken breast (100g)"", ""Lettuce (50g)"", ""Cucumber slices (50g)"", ""Cherry tomatoes (50g)"", ""Olive oil (1 tbsp)"", ""Lemon juice (1 tbsp)"", ""Salt (1/4 tsp)"", ""Black pepper (1/4 tsp)""],","  [""Chicken""],"
Salad,Chicago,Egg,320,15000,8000,25000,4000,3000,100,5000,380,3,300,25,2,450,80,8,4,"  [""Boiled egg (2 pcs)"", ""Lettuce (50g)"", ""Cucumber slices (50g)"", ""Cherry tomatoes (50g)"", ""Olive oil (1 tbsp)"", ""Lemon juice (1 tbsp)"", ""Salt (1/4 tsp)"", ""Black pepper (1/4 tsp)""],","  [""Egg""],"
Smoothie,Mumbai,Mango,220,6000,45000,2500,40000,4000,0,1500,10,1,450,40,1,70,180,60,2,"  [""Ripe mango pulp (150g)"", ""Milk (100ml)"", ""Yogurt (50ml)"", ""Honey (1 tbsp)"", ""Ice cubes (3-4)""],","  [""Mango"", ""Milk""],"
Smoothie,New York,Strawberry,190,5000,40000,1500,30000,5000,0,500,5,1,500,35,1,60,150,90,2,"  [""Fresh strawberries (150g)"", ""Milk (100ml)"", ""Yogurt (50ml)"", ""Honey (1 tbsp)"", ""Ice cubes (3-4)""],","  [""Strawberry"", ""Milk""],"
Smoothie,Chicago,Chocolate,300,12000,40000,12000,20000,8000,0,3000,10,3,800,120,2,130,300,10,3,"  [""Milk (150ml)"", ""Cocoa powder (2 tbsp)"", ""Banana (1 small)"", ""Honey (1 tbsp)"", ""Ice cubes (3-4)"", ""Whipped cream (1 tbsp, optional)""],","  [""Milk"", ""Banana""],"
Veg Burger,Mumbai,Potato,500,12000,60000,23000,8000,6000,200,5000,15,4,700,60,1,900,130,15,4,"  [""Burger bun (1 pc)"", ""Potato patty (100g)"", ""Lettuce (2 leaves)"", ""Tomato slices (2)"", ""Cheese slice (1)"", ""Ketchup (1 tbsp)"", ""Mayonnaise (1 tbsp)"", ""Salt (1/4 tsp)"", ""Black pepper (1/4 tsp)""],","  [""Gluten"", ""Milk"", ""Egg""],"
Veg Burger,New York,Tofu,420,20000,45000,18000,7000,5000,0,2500,0,5,400,100,2,750,250,5,3,"  [""Burger bun (1 pc)"", ""Grilled tofu patty (100g)"", ""Lettuce (2 leaves)"", ""Tomato slices (2)"", ""Cheese slice (1)"", ""Vegan mayo (1 tbsp)"", ""Ketchup (1 tbsp)"", ""Salt (1/4 tsp)"", ""Black pepper (1/4 tsp)""],","  [""Gluten"", ""Soy"", ""Milk""],"
Veg Burger,Chicago,Vegetable,400,10000,55000,16000,8000,8000,100,2000,5,3,600,50,1,850,120,10,3,"  [""Burger bun (1 pc)"", ""Mixed vegetable patty (100g)"", ""Lettuce (2 leaves)"", ""Tomato slices (2)"", ""Cheese slice (1)"", ""Mayonnaise (1 tbsp)"", ""Ketchup (1 tbsp)"", ""Salt (1/4 tsp)"", ""Black pepper (1/4 tsp)""]","  [""Gluten"", ""Milk"", ""Egg""]"
